City,Filing_Method,Marital_Status,Children_or_No_Children_Status,Age_Range,Count_of_Tax_Filers
Montreal ,Netfile,Married or Living common-law,With Children Declared,26 - 64,212840
Montreal ,Efile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,314380
Montreal ,Efile,Married or Living common-law,No Children Declared,26 - 64,338050
Montreal ,Efile,Married or Living common-law,With Children Declared,26 - 64,382100
Moose Jaw ,Paper,Married or Living common-law,No Children Declared,19 - 25,0
Moose Jaw ,Paper,Married or Living common-law,With Children Declared,19 - 25,0
Moose Jaw ,Paper,Married or Living common-law,With Children Declared,65 and Older,0
Moose Jaw ,Paper,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Moose Jaw ,Paper,Unstated,No Children Declared,18 and Under,0
Moose Jaw ,Paper,Unstated,No Children Declared,19 - 25,0
Moose Jaw ,Paper,Unstated,With Children Declared,26 - 64,0
Moose Jaw ,Netfile,Married or Living common-law,With Children Declared,65 and Older,0
Moose Jaw ,Netfile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Moose Jaw ,Efile,Married or Living common-law,No Children Declared,18 and Under,0
Moose Jaw ,Efile,Married or Living common-law,With Children Declared,18 and Under,0
Moose Jaw ,Efile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Moose Jaw ,Efile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Moose Jaw ,Paper,"Single, divorced, separated or widowed",With Children Declared,19 - 25,10
Moose Jaw ,Paper,Unstated,No Children Declared,65 and Older,10
Moose Jaw ,Paper,Unstated,No Children Declared,26 - 64,20
Moose Jaw ,Efile,Married or Living common-law,With Children Declared,65 and Older,20
Moose Jaw ,Netfile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,30
Moose Jaw ,Netfile,Married or Living common-law,With Children Declared,19 - 25,50
Moose Jaw ,Netfile,Married or Living common-law,No Children Declared,19 - 25,80
Moose Jaw ,Paper,"Single, divorced, separated or widowed",With Children Declared,26 - 64,90
Moose Jaw ,Efile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,90
Moose Jaw ,Paper,"Single, divorced, separated or widowed",No Children Declared,18 and Under,140
Moose Jaw ,Efile,Married or Living common-law,With Children Declared,19 - 25,150
Moose Jaw ,Paper,"Single, divorced, separated or widowed",No Children Declared,19 - 25,170
Moose Jaw ,Efile,Married or Living common-law,No Children Declared,19 - 25,180
Moose Jaw ,Paper,Married or Living common-law,With Children Declared,26 - 64,200
Moose Jaw ,Netfile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,200
Moose Jaw ,Netfile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,340
Moose Jaw ,Efile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,360
Moose Jaw ,Paper,Married or Living common-law,No Children Declared,65 and Older,460
Moose Jaw ,Paper,"Single, divorced, separated or widowed",No Children Declared,65 and Older,470
Moose Jaw ,Paper,Married or Living common-law,No Children Declared,26 - 64,490
Moose Jaw ,Netfile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,510
Moose Jaw ,Paper,"Single, divorced, separated or widowed",No Children Declared,26 - 64,570
Moose Jaw ,Netfile,Married or Living common-law,No Children Declared,65 and Older,700
Moose Jaw ,Efile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,790
Moose Jaw ,Netfile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,860
Moose Jaw ,Efile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,1310
Moose Jaw ,Netfile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,1400
Moose Jaw ,Netfile,Married or Living common-law,With Children Declared,26 - 64,1750
Moose Jaw ,Netfile,Married or Living common-law,No Children Declared,26 - 64,1820
Moose Jaw ,Efile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,2120
Moose Jaw ,Efile,Married or Living common-law,No Children Declared,65 and Older,2480
Moose Jaw ,Efile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,2810
Moose Jaw ,Efile,Married or Living common-law,With Children Declared,26 - 64,3520
Moose Jaw ,Efile,Married or Living common-law,No Children Declared,26 - 64,3730
Nanaimo ,Paper,Married or Living common-law,With Children Declared,19 - 25,0
Nanaimo ,Paper,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Nanaimo ,Paper,Unstated,No Children Declared,18 and Under,0
Nanaimo ,Paper,Unstated,No Children Declared,19 - 25,0
Nanaimo ,Paper,Unstated,With Children Declared,26 - 64,0
Nanaimo ,Paper,Unstated,With Children Declared,65 and Older,0
Nanaimo ,Netfile,Married or Living common-law,No Children Declared,18 and Under,0
Nanaimo ,Netfile,Married or Living common-law,With Children Declared,65 and Older,0
Nanaimo ,Netfile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Nanaimo ,Netfile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Nanaimo ,Efile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Nanaimo ,Paper,Married or Living common-law,With Children Declared,65 and Older,10
Nanaimo ,Paper,"Single, divorced, separated or widowed",With Children Declared,19 - 25,10
Nanaimo ,Efile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,20
Nanaimo ,Paper,Married or Living common-law,No Children Declared,19 - 25,40
Nanaimo ,Paper,Unstated,No Children Declared,26 - 64,40
Nanaimo ,Paper,Unstated,No Children Declared,65 and Older,50
Nanaimo ,Efile,Married or Living common-law,With Children Declared,65 and Older,70
Nanaimo ,Netfile,Married or Living common-law,With Children Declared,19 - 25,90
Nanaimo ,Netfile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,100
Nanaimo ,Efile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,150
Nanaimo ,Efile,Married or Living common-law,With Children Declared,19 - 25,160
Nanaimo ,Netfile,Married or Living common-law,No Children Declared,19 - 25,210
Nanaimo ,Paper,"Single, divorced, separated or widowed",With Children Declared,26 - 64,220
Nanaimo ,Paper,"Single, divorced, separated or widowed",No Children Declared,18 and Under,320
Nanaimo ,Efile,Married or Living common-law,No Children Declared,19 - 25,320
Nanaimo ,Netfile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,400
Nanaimo ,Paper,"Single, divorced, separated or widowed",No Children Declared,19 - 25,570
Nanaimo ,Paper,Married or Living common-law,With Children Declared,26 - 64,580
Nanaimo ,Efile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,740
Nanaimo ,Netfile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,1140
Nanaimo ,Paper,"Single, divorced, separated or widowed",No Children Declared,65 and Older,1470
Nanaimo ,Paper,Married or Living common-law,No Children Declared,26 - 64,1490
Nanaimo ,Netfile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,1540
Nanaimo ,Paper,Married or Living common-law,No Children Declared,65 and Older,1780
Nanaimo ,Paper,"Single, divorced, separated or widowed",No Children Declared,26 - 64,1800
Nanaimo ,Efile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,2020
Nanaimo ,Netfile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,2560
Nanaimo ,Netfile,Married or Living common-law,No Children Declared,65 and Older,3100
Nanaimo ,Efile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,3220
Nanaimo ,Netfile,Married or Living common-law,With Children Declared,26 - 64,4810
Nanaimo ,Netfile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,4910
Nanaimo ,Efile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,5580
Nanaimo ,Netfile,Married or Living common-law,No Children Declared,26 - 64,5620
Nanaimo ,Efile,Married or Living common-law,With Children Declared,26 - 64,7000
Nanaimo ,Efile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,7590
Nanaimo ,Efile,Married or Living common-law,No Children Declared,65 and Older,8350
Nanaimo ,Efile,Married or Living common-law,No Children Declared,26 - 64,9500
New Glasgow ,Paper,Married or Living common-law,No Children Declared,19 - 25,0
New Glasgow ,Paper,Married or Living common-law,With Children Declared,65 and Older,0
New Glasgow ,Paper,Unstated,No Children Declared,18 and Under,0
New Glasgow ,Paper,Unstated,No Children Declared,19 - 25,0
New Glasgow ,Paper,Unstated,With Children Declared,26 - 64,0
New Glasgow ,Paper,Unstated,With Children Declared,65 and Older,0
New Glasgow ,Netfile,Married or Living common-law,With Children Declared,65 and Older,0
New Glasgow ,Netfile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
New Glasgow ,Efile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
New Glasgow ,Efile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
New Glasgow ,Paper,Married or Living common-law,With Children Declared,19 - 25,10
New Glasgow ,Paper,"Single, divorced, separated or widowed",With Children Declared,19 - 25,10
New Glasgow ,Paper,Unstated,No Children Declared,26 - 64,10
New Glasgow ,Paper,Unstated,No Children Declared,65 and Older,10
New Glasgow ,Netfile,Married or Living common-law,With Children Declared,19 - 25,30
New Glasgow ,Efile,Married or Living common-law,With Children Declared,65 and Older,30
New Glasgow ,Netfile,Married or Living common-law,No Children Declared,19 - 25,40
New Glasgow ,Netfile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,60
New Glasgow ,Efile,Married or Living common-law,No Children Declared,19 - 25,70
New Glasgow ,Efile,Married or Living common-law,With Children Declared,19 - 25,70
New Glasgow ,Efile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,110
New Glasgow ,Paper,"Single, divorced, separated or widowed",No Children Declared,18 and Under,120
New Glasgow ,Paper,"Single, divorced, separated or widowed",With Children Declared,26 - 64,140
New Glasgow ,Netfile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,160
New Glasgow ,Paper,"Single, divorced, separated or widowed",No Children Declared,19 - 25,210
New Glasgow ,Paper,Married or Living common-law,With Children Declared,26 - 64,220
New Glasgow ,Efile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,330
New Glasgow ,Netfile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,360
New Glasgow ,Netfile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,470
New Glasgow ,Paper,"Single, divorced, separated or widowed",No Children Declared,65 and Older,500
New Glasgow ,Paper,Married or Living common-law,No Children Declared,65 and Older,530
New Glasgow ,Paper,Married or Living common-law,No Children Declared,26 - 64,610
New Glasgow ,Netfile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,630
New Glasgow ,Netfile,Married or Living common-law,No Children Declared,65 and Older,720
New Glasgow ,Paper,"Single, divorced, separated or widowed",No Children Declared,26 - 64,850
New Glasgow ,Efile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,920
New Glasgow ,Efile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,1300
New Glasgow ,Netfile,Married or Living common-law,With Children Declared,26 - 64,1310
New Glasgow ,Netfile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,1370
New Glasgow ,Netfile,Married or Living common-law,No Children Declared,26 - 64,1540
New Glasgow ,Efile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,2120
New Glasgow ,Efile,Married or Living common-law,With Children Declared,26 - 64,2830
New Glasgow ,Efile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,2910
New Glasgow ,Efile,Married or Living common-law,No Children Declared,65 and Older,3030
New Glasgow ,Efile,Married or Living common-law,No Children Declared,26 - 64,3810
Norfolk ,Paper,Married or Living common-law,With Children Declared,19 - 25,0
Norfolk ,Paper,Married or Living common-law,With Children Declared,65 and Older,0
Norfolk ,Paper,"Single, divorced, separated or widowed",With Children Declared,19 - 25,0
Norfolk ,Paper,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Norfolk ,Paper,Unstated,No Children Declared,18 and Under,0
Norfolk ,Paper,Unstated,No Children Declared,19 - 25,0
Norfolk ,Netfile,Married or Living common-law,With Children Declared,18 and Under,0
Norfolk ,Netfile,Married or Living common-law,With Children Declared,65 and Older,0
Norfolk ,Netfile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Norfolk ,Netfile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Norfolk ,Efile,Married or Living common-law,No Children Declared,18 and Under,0
Norfolk ,Efile,Married or Living common-law,With Children Declared,18 and Under,0
Norfolk ,Efile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Norfolk ,Paper,Unstated,No Children Declared,65 and Older,10
Norfolk ,Paper,Unstated,No Children Declared,26 - 64,20
Norfolk ,Efile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,20
Norfolk ,Paper,Married or Living common-law,No Children Declared,19 - 25,30
Norfolk ,Netfile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,40
Norfolk ,Efile,Married or Living common-law,With Children Declared,65 and Older,40
Norfolk ,Netfile,Married or Living common-law,With Children Declared,19 - 25,60
Norfolk ,Efile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,70
Norfolk ,Paper,"Single, divorced, separated or widowed",With Children Declared,26 - 64,90
Norfolk ,Netfile,Married or Living common-law,No Children Declared,19 - 25,120
Norfolk ,Paper,"Single, divorced, separated or widowed",No Children Declared,18 and Under,140
Norfolk ,Netfile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,220
Norfolk ,Paper,"Single, divorced, separated or widowed",No Children Declared,19 - 25,230
Norfolk ,Efile,Married or Living common-law,No Children Declared,19 - 25,240
Norfolk ,Efile,Married or Living common-law,With Children Declared,19 - 25,240
Norfolk ,Paper,Married or Living common-law,With Children Declared,26 - 64,300
Norfolk ,Netfile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,480
Norfolk ,Paper,"Single, divorced, separated or widowed",No Children Declared,65 and Older,610
Norfolk ,Netfile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,690
Norfolk ,Paper,"Single, divorced, separated or widowed",No Children Declared,26 - 64,750
Norfolk ,Paper,Married or Living common-law,No Children Declared,65 and Older,900
Norfolk ,Efile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,1020
Norfolk ,Efile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,1060
Norfolk ,Netfile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,1080
Norfolk ,Paper,Married or Living common-law,No Children Declared,26 - 64,1110
Norfolk ,Netfile,Married or Living common-law,No Children Declared,65 and Older,1530
Norfolk ,Netfile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,2020
Norfolk ,Netfile,Married or Living common-law,With Children Declared,26 - 64,2150
Norfolk ,Efile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,2720
Norfolk ,Netfile,Married or Living common-law,No Children Declared,26 - 64,2800
Norfolk ,Efile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,3640
Norfolk ,Efile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,4440
Norfolk ,Efile,Married or Living common-law,With Children Declared,26 - 64,5800
Norfolk ,Efile,Married or Living common-law,No Children Declared,65 and Older,6530
Norfolk ,Efile,Married or Living common-law,No Children Declared,26 - 64,7820
North Battleford ,Paper,Married or Living common-law,No Children Declared,19 - 25,0
North Battleford ,Paper,Married or Living common-law,With Children Declared,19 - 25,0
North Battleford ,Paper,Married or Living common-law,With Children Declared,65 and Older,0
North Battleford ,Paper,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
North Battleford ,Paper,Unstated,No Children Declared,19 - 25,0
North Battleford ,Paper,Unstated,With Children Declared,19 - 25,0
North Battleford ,Paper,Unstated,With Children Declared,26 - 64,0
North Battleford ,Netfile,Married or Living common-law,With Children Declared,65 and Older,0
North Battleford ,Netfile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
North Battleford ,Efile,Married or Living common-law,With Children Declared,65 and Older,0
North Battleford ,Efile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
North Battleford ,Paper,Unstated,No Children Declared,26 - 64,10
North Battleford ,Paper,Unstated,No Children Declared,65 and Older,10
North Battleford ,Efile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,10
North Battleford ,Paper,"Single, divorced, separated or widowed",With Children Declared,19 - 25,20
North Battleford ,Netfile,Married or Living common-law,With Children Declared,19 - 25,20
North Battleford ,Netfile,Married or Living common-law,No Children Declared,19 - 25,30
North Battleford ,Netfile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,40
North Battleford ,Paper,"Single, divorced, separated or widowed",No Children Declared,18 and Under,80
North Battleford ,Efile,Married or Living common-law,No Children Declared,19 - 25,90
North Battleford ,Efile,Married or Living common-law,With Children Declared,19 - 25,90
North Battleford ,Netfile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,120
North Battleford ,Efile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,130
North Battleford ,Paper,"Single, divorced, separated or widowed",With Children Declared,26 - 64,140
North Battleford ,Paper,"Single, divorced, separated or widowed",No Children Declared,19 - 25,150
North Battleford ,Paper,Married or Living common-law,With Children Declared,26 - 64,200
North Battleford ,Efile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,210
North Battleford ,Netfile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,220
North Battleford ,Netfile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,230
North Battleford ,Paper,Married or Living common-law,No Children Declared,65 and Older,260
North Battleford ,Paper,"Single, divorced, separated or widowed",No Children Declared,65 and Older,290
North Battleford ,Netfile,Married or Living common-law,No Children Declared,65 and Older,290
North Battleford ,Paper,Married or Living common-law,No Children Declared,26 - 64,390
North Battleford ,Netfile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,420
North Battleford ,Paper,"Single, divorced, separated or widowed",No Children Declared,26 - 64,470
North Battleford ,Efile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,670
North Battleford ,Netfile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,690
North Battleford ,Efile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,720
North Battleford ,Netfile,Married or Living common-law,No Children Declared,26 - 64,840
North Battleford ,Netfile,Married or Living common-law,With Children Declared,26 - 64,910
North Battleford ,Efile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,970
North Battleford ,Efile,Married or Living common-law,No Children Declared,65 and Older,1350
North Battleford ,Efile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,1460
North Battleford ,Efile,Married or Living common-law,With Children Declared,26 - 64,1940
North Battleford ,Efile,Married or Living common-law,No Children Declared,26 - 64,2080
North Bay ,Paper,Married or Living common-law,No Children Declared,18 and Under,0
North Bay ,Paper,Married or Living common-law,With Children Declared,18 and Under,0
North Bay ,Paper,Married or Living common-law,With Children Declared,65 and Older,0
North Bay ,Paper,"Single, divorced, separated or widowed",With Children Declared,19 - 25,0
North Bay ,Paper,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
North Bay ,Paper,Unstated,No Children Declared,18 and Under,0
North Bay ,Paper,Unstated,No Children Declared,19 - 25,0
North Bay ,Paper,Unstated,With Children Declared,26 - 64,0
North Bay ,Netfile,Married or Living common-law,No Children Declared,18 and Under,0
North Bay ,Netfile,Married or Living common-law,With Children Declared,18 and Under,0
North Bay ,Netfile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
North Bay ,Netfile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
North Bay ,Efile,Married or Living common-law,No Children Declared,18 and Under,0
North Bay ,Efile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
North Bay ,Paper,Married or Living common-law,With Children Declared,19 - 25,10
North Bay ,Paper,Unstated,No Children Declared,26 - 64,10
North Bay ,Netfile,Married or Living common-law,With Children Declared,65 and Older,10
North Bay ,Efile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,10
North Bay ,Paper,Married or Living common-law,No Children Declared,19 - 25,20
North Bay ,Paper,Unstated,No Children Declared,65 and Older,30
North Bay ,Efile,Married or Living common-law,With Children Declared,65 and Older,30
North Bay ,Netfile,Married or Living common-law,With Children Declared,19 - 25,110
North Bay ,Netfile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,110
North Bay ,Paper,"Single, divorced, separated or widowed",With Children Declared,26 - 64,160
North Bay ,Efile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,160
North Bay ,Efile,Married or Living common-law,With Children Declared,19 - 25,170
North Bay ,Paper,"Single, divorced, separated or widowed",No Children Declared,18 and Under,190
North Bay ,Netfile,Married or Living common-law,No Children Declared,19 - 25,190
North Bay ,Efile,Married or Living common-law,No Children Declared,19 - 25,210
North Bay ,Paper,"Single, divorced, separated or widowed",No Children Declared,19 - 25,320
North Bay ,Netfile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,320
North Bay ,Paper,Married or Living common-law,With Children Declared,26 - 64,380
North Bay ,Efile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,550
North Bay ,Netfile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,780
North Bay ,Paper,"Single, divorced, separated or widowed",No Children Declared,65 and Older,940
North Bay ,Netfile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,1030
North Bay ,Paper,Married or Living common-law,No Children Declared,26 - 64,1060
North Bay ,Paper,Married or Living common-law,No Children Declared,65 and Older,1060
North Bay ,Paper,"Single, divorced, separated or widowed",No Children Declared,26 - 64,1060
North Bay ,Efile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,1360
North Bay ,Netfile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,1650
North Bay ,Netfile,Married or Living common-law,No Children Declared,65 and Older,1700
North Bay ,Efile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,2220
North Bay ,Efile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,3060
North Bay ,Netfile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,3170
North Bay ,Netfile,Married or Living common-law,With Children Declared,26 - 64,3550
North Bay ,Netfile,Married or Living common-law,No Children Declared,26 - 64,3930
North Bay ,Efile,Married or Living common-law,With Children Declared,26 - 64,4180
North Bay ,Efile,Married or Living common-law,No Children Declared,65 and Older,4230
North Bay ,Efile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,4810
North Bay ,Efile,Married or Living common-law,No Children Declared,26 - 64,5410
Okotoks ,Paper,Married or Living common-law,With Children Declared,19 - 25,0
Okotoks ,Paper,Married or Living common-law,With Children Declared,65 and Older,0
Okotoks ,Paper,"Single, divorced, separated or widowed",With Children Declared,19 - 25,0
Okotoks ,Paper,Unstated,No Children Declared,18 and Under,0
Okotoks ,Paper,Unstated,No Children Declared,26 - 64,0
Okotoks ,Paper,Unstated,No Children Declared,65 and Older,0
Okotoks ,Netfile,Married or Living common-law,No Children Declared,18 and Under,0
Okotoks ,Netfile,Married or Living common-law,With Children Declared,65 and Older,0
Okotoks ,Netfile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Okotoks ,Efile,Married or Living common-law,No Children Declared,18 and Under,0
Okotoks ,Paper,Married or Living common-law,No Children Declared,19 - 25,10
Okotoks ,Efile,Married or Living common-law,With Children Declared,65 and Older,10
Okotoks ,Netfile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,20
Okotoks ,Efile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,20
Okotoks ,Netfile,Married or Living common-law,With Children Declared,19 - 25,40
Okotoks ,Efile,Married or Living common-law,With Children Declared,19 - 25,40
Okotoks ,Paper,"Single, divorced, separated or widowed",With Children Declared,26 - 64,50
Okotoks ,Netfile,Married or Living common-law,No Children Declared,19 - 25,80
Okotoks ,Efile,Married or Living common-law,No Children Declared,19 - 25,90
Okotoks ,Paper,"Single, divorced, separated or widowed",No Children Declared,18 and Under,150
Okotoks ,Paper,"Single, divorced, separated or widowed",No Children Declared,65 and Older,150
Okotoks ,Paper,"Single, divorced, separated or widowed",No Children Declared,19 - 25,160
Okotoks ,Netfile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,240
Okotoks ,Netfile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,260
Okotoks ,Paper,"Single, divorced, separated or widowed",No Children Declared,26 - 64,290
Okotoks ,Paper,Married or Living common-law,With Children Declared,26 - 64,320
Okotoks ,Paper,Married or Living common-law,No Children Declared,65 and Older,330
Okotoks ,Netfile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,330
Okotoks ,Efile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,340
Okotoks ,Paper,Married or Living common-law,No Children Declared,26 - 64,440
Okotoks ,Efile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,480
Okotoks ,Efile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,590
Okotoks ,Netfile,Married or Living common-law,No Children Declared,65 and Older,650
Okotoks ,Efile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,960
Okotoks ,Netfile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,990
Okotoks ,Netfile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,1060
Okotoks ,Efile,Married or Living common-law,No Children Declared,65 and Older,1260
Okotoks ,Efile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,1410
Okotoks ,Netfile,Married or Living common-law,No Children Declared,26 - 64,1890
Okotoks ,Efile,Married or Living common-law,No Children Declared,26 - 64,2630
Okotoks ,Netfile,Married or Living common-law,With Children Declared,26 - 64,2910
Okotoks ,Efile,Married or Living common-law,With Children Declared,26 - 64,3130
Orillia ,Paper,Married or Living common-law,With Children Declared,19 - 25,0
Orillia ,Paper,Married or Living common-law,With Children Declared,65 and Older,0
Orillia ,Paper,"Single, divorced, separated or widowed",With Children Declared,19 - 25,0
Orillia ,Paper,Unstated,No Children Declared,18 and Under,0
Orillia ,Paper,Unstated,No Children Declared,19 - 25,0
Orillia ,Paper,Unstated,No Children Declared,26 - 64,0
Orillia ,Paper,Unstated,With Children Declared,26 - 64,0
Orillia ,Netfile,Married or Living common-law,No Children Declared,18 and Under,0
Orillia ,Netfile,Married or Living common-law,With Children Declared,65 and Older,0
Orillia ,Netfile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Orillia ,Netfile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Orillia ,Efile,Married or Living common-law,No Children Declared,18 and Under,0
Orillia ,Efile,Married or Living common-law,With Children Declared,18 and Under,0
Orillia ,Efile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Orillia ,Paper,Married or Living common-law,No Children Declared,19 - 25,10
Orillia ,Paper,Unstated,No Children Declared,65 and Older,10
Orillia ,Efile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,10
Orillia ,Efile,Married or Living common-law,With Children Declared,65 and Older,30
Orillia ,Netfile,Married or Living common-law,With Children Declared,19 - 25,50
Orillia ,Netfile,Married or Living common-law,No Children Declared,19 - 25,60
Orillia ,Netfile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,60
Orillia ,Paper,"Single, divorced, separated or widowed",With Children Declared,26 - 64,70
Orillia ,Efile,Married or Living common-law,With Children Declared,19 - 25,110
Orillia ,Paper,"Single, divorced, separated or widowed",No Children Declared,18 and Under,120
Orillia ,Efile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,120
Orillia ,Efile,Married or Living common-law,No Children Declared,19 - 25,130
Orillia ,Paper,"Single, divorced, separated or widowed",No Children Declared,19 - 25,160
Orillia ,Netfile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,170
Orillia ,Paper,Married or Living common-law,With Children Declared,26 - 64,210
Orillia ,Efile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,410
Orillia ,Paper,"Single, divorced, separated or widowed",No Children Declared,65 and Older,470
Orillia ,Paper,Married or Living common-law,No Children Declared,26 - 64,500
Orillia ,Netfile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,500
Orillia ,Paper,Married or Living common-law,No Children Declared,65 and Older,610
Orillia ,Paper,"Single, divorced, separated or widowed",No Children Declared,26 - 64,620
