CMA_or_CA,Filing_Method,Major_Source_of_Income,Total_Income_Range,Complexity,Count_of_Taxfilers
North Bay CA,Paper,Other,"Less than $25,000",Complex,120
North Bay CA,Efile,Other,"Between $25,000 and $49,999",Complex,120
North Bay CA,Paper,Employment,"Less than $25,000",Complex,100
North Bay CA,Paper,Employment,"$100,000 and Above",Simple,100
North Bay CA,Paper,Self-employment,"Less than $25,000",Complex,70
North Bay CA,Efile,Other,"Between $50,000 and $99,999",Complex,70
North Bay CA,Efile,Other,"$100,000 and Above",Complex,70
North Bay CA,Netfile,Investment,"Less than $25,000",Complex,60
North Bay CA,Efile,Other,"Between $50,000 and $99,999",Simple,60
North Bay CA,Paper,Employment,"$100,000 and Above",Complex,50
North Bay CA,Paper,Other,"Between $25,000 and $49,999",Simple,50
North Bay CA,Netfile,Other,"Between $25,000 and $49,999",Complex,50
North Bay CA,Netfile,Other,"Between $50,000 and $99,999",Simple,50
North Bay CA,Netfile,Self-employment,"Between $25,000 and $49,999",Complex,50
North Bay CA,Efile,Pension,"$100,000 and Above",Simple,50
North Bay CA,Paper,Investment,"Between $50,000 and $99,999",Complex,30
North Bay CA,Paper,Self-employment,"Between $25,000 and $49,999",Complex,30
North Bay CA,Netfile,Investment,"Between $50,000 and $99,999",Complex,30
North Bay CA,Netfile,Pension,"$100,000 and Above",Complex,30
North Bay CA,Netfile,Pension,"$100,000 and Above",Simple,30
North Bay CA,Efile,Investment,"Less than $25,000",Simple,30
North Bay CA,Efile,Other,"$100,000 and Above",Simple,30
North Bay CA,Paper,Investment,"Less than $25,000",Complex,20
North Bay CA,Paper,Investment,"Less than $25,000",Simple,20
North Bay CA,Paper,Investment,"Between $25,000 and $49,999",Complex,20
North Bay CA,Paper,Investment,"$100,000 and Above",Complex,20
North Bay CA,Paper,Pension,"$100,000 and Above",Complex,20
North Bay CA,Paper,Self-employment,"Between $50,000 and $99,999",Complex,20
North Bay CA,Paper,Self-employment,"$100,000 and Above",Complex,20
North Bay CA,Netfile,Investment,"Less than $25,000",Simple,20
North Bay CA,Netfile,Investment,"Between $25,000 and $49,999",Complex,20
North Bay CA,Netfile,Investment,"$100,000 and Above",Complex,20
North Bay CA,Netfile,Other,"Between $50,000 and $99,999",Complex,20
North Bay CA,Netfile,Self-employment,"Between $50,000 and $99,999",Complex,20
North Bay CA,Efile,No income,"Less than $25,000",Complex,20
North Bay CA,Paper,No income,"Less than $25,000",Complex,10
North Bay CA,Paper,Other,"Between $25,000 and $49,999",Complex,10
North Bay CA,Paper,Other,"Between $50,000 and $99,999",Complex,10
North Bay CA,Paper,Other,"Between $50,000 and $99,999",Simple,10
North Bay CA,Paper,Other,"$100,000 and Above",Complex,10
North Bay CA,Paper,Pension,"$100,000 and Above",Simple,10
North Bay CA,Netfile,Self-employment,"$100,000 and Above",Complex,10
North Bay CA,Paper,Investment,"Between $25,000 and $49,999",Simple,0
North Bay CA,Paper,Investment,"Between $50,000 and $99,999",Simple,0
North Bay CA,Paper,Investment,"$100,000 and Above",Simple,0
North Bay CA,Paper,Other,"$100,000 and Above",Simple,0
North Bay CA,Paper,Self-employment,"Less than $25,000",Simple,0
North Bay CA,Netfile,No income,"Less than $25,000",Complex,0
North Bay CA,Netfile,Investment,"Between $25,000 and $49,999",Simple,0
North Bay CA,Netfile,Investment,"$100,000 and Above",Simple,0
North Bay CA,Netfile,Multiple sources of income,"Less than $25,000",Complex,0
North Bay CA,Netfile,Multiple sources of income,"Less than $25,000",Simple,0
North Bay CA,Netfile,Multiple sources of income,"Between $25,000 and $49,999",Complex,0
North Bay CA,Netfile,Other,"$100,000 and Above",Complex,0
North Bay CA,Netfile,Other,"$100,000 and Above",Simple,0
North Bay CA,Efile,Investment,"Between $25,000 and $49,999",Simple,0
North Bay CA,Efile,Investment,"Between $50,000 and $99,999",Simple,0
Okotoks CA,Netfile,Employment,"Between $50,000 and $99,999",Simple,"1,720"
Okotoks CA,Efile,Employment,"Between $50,000 and $99,999",Simple,"1,330"
Okotoks CA,Netfile,Employment,"Less than $25,000",Simple,"1,190"
Okotoks CA,Efile,Employment,"Less than $25,000",Simple,"1,160"
Okotoks CA,Efile,Employment,"Between $25,000 and $49,999",Simple,"1,130"
Okotoks CA,Netfile,Employment,"Between $25,000 and $49,999",Simple,"1,100"
Okotoks CA,Netfile,Employment,"$100,000 and Above",Simple,980
Okotoks CA,Efile,Employment,"$100,000 and Above",Complex,870
Okotoks CA,Efile,Employment,"$100,000 and Above",Simple,810
Okotoks CA,Efile,Employment,"Between $50,000 and $99,999",Complex,660
Okotoks CA,Netfile,Employment,"$100,000 and Above",Complex,560
Okotoks CA,Efile,Investment,"$100,000 and Above",Complex,500
Okotoks CA,Efile,Investment,"Between $50,000 and $99,999",Complex,480
Okotoks CA,Netfile,Other,"Less than $25,000",Simple,430
Okotoks CA,Netfile,Employment,"Between $50,000 and $99,999",Complex,420
Okotoks CA,Efile,Other,"Less than $25,000",Simple,390
Okotoks CA,Efile,Pension,"Less than $25,000",Simple,340
Okotoks CA,Efile,Pension,"Between $25,000 and $49,999",Complex,340
Okotoks CA,Efile,Employment,"Between $25,000 and $49,999",Complex,320
Okotoks CA,Paper,Employment,"Less than $25,000",Simple,300
Okotoks CA,Efile,Self-employment,"Less than $25,000",Complex,300
Okotoks CA,Efile,Investment,"Between $25,000 and $49,999",Complex,290
Okotoks CA,Efile,Pension,"Between $25,000 and $49,999",Simple,280
Okotoks CA,Netfile,Pension,"Between $25,000 and $49,999",Simple,260
Okotoks CA,Paper,Employment,"Between $50,000 and $99,999",Simple,240
Okotoks CA,Netfile,Pension,"Less than $25,000",Simple,240
Okotoks CA,Efile,Pension,"Between $50,000 and $99,999",Complex,230
Okotoks CA,Paper,Employment,"Between $25,000 and $49,999",Simple,200
Okotoks CA,Netfile,Employment,"Between $25,000 and $49,999",Complex,180
Okotoks CA,Efile,Employment,"Less than $25,000",Complex,180
Okotoks CA,Efile,Pension,"Less than $25,000",Complex,180
Okotoks CA,Efile,Self-employment,"Between $25,000 and $49,999",Complex,160
Okotoks CA,Netfile,Pension,"Between $25,000 and $49,999",Complex,140
Okotoks CA,Efile,Investment,"Less than $25,000",Complex,140
Okotoks CA,Paper,Pension,"Less than $25,000",Simple,130
Okotoks CA,Netfile,Pension,"Between $50,000 and $99,999",Simple,130
Okotoks CA,Netfile,Pension,"Between $50,000 and $99,999",Complex,120
Okotoks CA,Netfile,Self-employment,"Less than $25,000",Complex,120
Okotoks CA,Efile,Other,"Less than $25,000",Complex,120
Okotoks CA,Efile,No income,"Less than $25,000",Simple,110
Okotoks CA,Efile,Other,"Between $25,000 and $49,999",Simple,110
Okotoks CA,Paper,Employment,"$100,000 and Above",Complex,100
Okotoks CA,Paper,Employment,"$100,000 and Above",Simple,100
Okotoks CA,Paper,Pension,"Between $25,000 and $49,999",Simple,100
Okotoks CA,Netfile,No income,"Less than $25,000",Simple,100
Okotoks CA,Netfile,Employment,"Less than $25,000",Complex,100
Okotoks CA,Netfile,Other,"Between $25,000 and $49,999",Simple,100
Okotoks CA,Efile,Pension,"Between $50,000 and $99,999",Simple,100
Okotoks CA,Efile,Self-employment,"Between $50,000 and $99,999",Complex,100
Okotoks CA,Paper,Employment,"Between $50,000 and $99,999",Complex,90
Okotoks CA,Paper,Other,"Less than $25,000",Simple,90
Okotoks CA,Netfile,Investment,"Less than $25,000",Complex,80
Okotoks CA,Netfile,Other,"Less than $25,000",Complex,80
Okotoks CA,Paper,Pension,"Between $25,000 and $49,999",Complex,70
Okotoks CA,Paper,Pension,"Less than $25,000",Complex,60
Okotoks CA,Netfile,Investment,"Between $50,000 and $99,999",Complex,60
Okotoks CA,Efile,Other,"Between $25,000 and $49,999",Complex,60
Okotoks CA,Paper,Employment,"Between $25,000 and $49,999",Complex,50
Okotoks CA,Netfile,Investment,"$100,000 and Above",Complex,50
Okotoks CA,Netfile,Pension,"Less than $25,000",Complex,50
Okotoks CA,Netfile,Self-employment,"Between $25,000 and $49,999",Complex,50
Okotoks CA,Efile,Self-employment,"$100,000 and Above",Complex,50
Okotoks CA,Paper,Pension,"Between $50,000 and $99,999",Complex,40
Okotoks CA,Paper,Pension,"Between $50,000 and $99,999",Simple,40
Okotoks CA,Paper,Self-employment,"Less than $25,000",Complex,40
Okotoks CA,Netfile,Investment,"Between $25,000 and $49,999",Complex,40
Okotoks CA,Efile,Other,"Between $50,000 and $99,999",Complex,40
Okotoks CA,Efile,Pension,"$100,000 and Above",Complex,40
Okotoks CA,Paper,No income,"Less than $25,000",Simple,30
Okotoks CA,Paper,Employment,"Less than $25,000",Complex,30
Okotoks CA,Paper,Investment,"Between $50,000 and $99,999",Complex,30
Okotoks CA,Paper,Investment,"$100,000 and Above",Complex,30
Okotoks CA,Paper,Other,"Between $25,000 and $49,999",Simple,30
Okotoks CA,Netfile,Other,"Between $25,000 and $49,999",Complex,30
Okotoks CA,Netfile,Self-employment,"Between $50,000 and $99,999",Complex,30
Okotoks CA,Efile,Investment,"Less than $25,000",Simple,30
Okotoks CA,Efile,Other,"Between $50,000 and $99,999",Simple,30
Okotoks CA,Efile,Other,"$100,000 and Above",Complex,30
Okotoks CA,Paper,Investment,"Between $25,000 and $49,999",Complex,20
Okotoks CA,Paper,Other,"Less than $25,000",Complex,20
Okotoks CA,Paper,Self-employment,"Between $25,000 and $49,999",Complex,20
Okotoks CA,Netfile,Investment,"Less than $25,000",Simple,20
Okotoks CA,Netfile,Other,"Between $50,000 and $99,999",Complex,20
Okotoks CA,Netfile,Other,"Between $50,000 and $99,999",Simple,20
Okotoks CA,Netfile,Other,"$100,000 and Above",Simple,20
Okotoks CA,Netfile,Pension,"$100,000 and Above",Complex,20
Okotoks CA,Netfile,Self-employment,"$100,000 and Above",Complex,20
Okotoks CA,Paper,Investment,"Less than $25,000",Complex,10
Okotoks CA,Paper,Other,"Between $25,000 and $49,999",Complex,10
Okotoks CA,Paper,Other,"Between $50,000 and $99,999",Complex,10
Okotoks CA,Paper,Pension,"$100,000 and Above",Complex,10
Okotoks CA,Netfile,Other,"$100,000 and Above",Complex,10
Okotoks CA,Efile,Other,"$100,000 and Above",Simple,10
Okotoks CA,Efile,Pension,"$100,000 and Above",Simple,10
Okotoks CA,Paper,No income,"Less than $25,000",Complex,0
Okotoks CA,Paper,Investment,"Less than $25,000",Simple,0
Okotoks CA,Paper,Other,"Between $50,000 and $99,999",Simple,0
Okotoks CA,Paper,Other,"$100,000 and Above",Complex,0
Okotoks CA,Paper,Other,"$100,000 and Above",Simple,0
Okotoks CA,Paper,Pension,"$100,000 and Above",Simple,0
Okotoks CA,Paper,Self-employment,"Less than $25,000",Simple,0
Okotoks CA,Paper,Self-employment,"Between $50,000 and $99,999",Complex,0
Okotoks CA,Paper,Self-employment,"$100,000 and Above",Complex,0
Okotoks CA,Netfile,No income,"Less than $25,000",Complex,0
Okotoks CA,Netfile,Investment,"$100,000 and Above",Simple,0
Okotoks CA,Netfile,Pension,"$100,000 and Above",Simple,0
Okotoks CA,Efile,No income,"Less than $25,000",Complex,0
Okotoks CA,Efile,Investment,"Between $25,000 and $49,999",Simple,0
Okotoks CA,Efile,Investment,"Between $50,000 and $99,999",Simple,0
Okotoks CA,Efile,Multiple sources of income,"Less than $25,000",Simple,0
Okotoks CA,Efile,Multiple sources of income,"Between $25,000 and $49,999",Simple,0
Orillia CA,Efile,Employment,"Between $25,000 and $49,999",Simple,"2,500"
Orillia CA,Efile,Employment,"Less than $25,000",Simple,"2,350"
Orillia CA,Efile,Pension,"Less than $25,000",Simple,"2,000"
Orillia CA,Efile,Other,"Less than $25,000",Simple,"1,840"
Orillia CA,Efile,Employment,"Between $50,000 and $99,999",Simple,"1,820"
Orillia CA,Netfile,Employment,"Between $25,000 and $49,999",Simple,"1,530"
Orillia CA,Netfile,Employment,"Between $50,000 and $99,999",Simple,"1,240"
Orillia CA,Netfile,Employment,"Less than $25,000",Simple,"1,200"
Orillia CA,Efile,Pension,"Between $25,000 and $49,999",Simple,"1,180"
Orillia CA,Efile,Pension,"Between $25,000 and $49,999",Complex,"1,130"
Orillia CA,Efile,Pension,"Between $50,000 and $99,999",Complex,900
Orillia CA,Efile,Pension,"Less than $25,000",Complex,830
Orillia CA,Netfile,Other,"Less than $25,000",Simple,800
Orillia CA,Efile,Employment,"Between $50,000 and $99,999",Complex,800
Orillia CA,Efile,Employment,"Between $25,000 and $49,999",Complex,650
Orillia CA,Netfile,Pension,"Less than $25,000",Simple,640
Orillia CA,Efile,Self-employment,"Less than $25,000",Complex,530
Orillia CA,Netfile,Pension,"Between $25,000 and $49,999",Simple,460
Orillia CA,Paper,Pension,"Less than $25,000",Simple,420
Orillia CA,Efile,Pension,"Between $50,000 and $99,999",Simple,420
Orillia CA,Efile,No income,"Less than $25,000",Simple,400
Orillia CA,Efile,Employment,"$100,000 and Above",Simple,350
Orillia CA,Efile,Employment,"$100,000 and Above",Complex,340
Orillia CA,Paper,Employment,"Less than $25,000",Simple,330
Orillia CA,Paper,Other,"Less than $25,000",Simple,320
Orillia CA,Efile,Employment,"Less than $25,000",Complex,310
Orillia CA,Netfile,Employment,"Between $50,000 and $99,999",Complex,280
Orillia CA,Netfile,Employment,"Between $25,000 and $49,999",Complex,270
Orillia CA,Paper,Employment,"Between $25,000 and $49,999",Simple,260
Orillia CA,Netfile,Pension,"Between $25,000 and $49,999",Complex,250
Orillia CA,Paper,Pension,"Between $25,000 and $49,999",Simple,220
Orillia CA,Netfile,Pension,"Between $50,000 and $99,999",Simple,220
Orillia CA,Netfile,No income,"Less than $25,000",Simple,210
Orillia CA,Netfile,Employment,"$100,000 and Above",Simple,210
Orillia CA,Efile,Investment,"$100,000 and Above",Complex,210
Orillia CA,Netfile,Pension,"Between $50,000 and $99,999",Complex,200
Orillia CA,Efile,Other,"Less than $25,000",Complex,200
Orillia CA,Efile,Self-employment,"Between $25,000 and $49,999",Complex,200
Orillia CA,Efile,Investment,"Between $50,000 and $99,999",Complex,190
Orillia CA,Efile,Other,"Between $25,000 and $49,999",Simple,190
Orillia CA,Paper,Employment,"Between $50,000 and $99,999",Simple,180
Orillia CA,Paper,Pension,"Less than $25,000",Complex,180
Orillia CA,Efile,Investment,"Between $25,000 and $49,999",Complex,180
Orillia CA,Netfile,Pension,"Less than $25,000",Complex,160
Orillia CA,Efile,Pension,"$100,000 and Above",Complex,160
Orillia CA,Paper,Pension,"Between $25,000 and $49,999",Complex,140
Orillia CA,Efile,Investment,"Less than $25,000",Complex,140
Orillia CA,Netfile,Employment,"Less than $25,000",Complex,110
Orillia CA,Netfile,Employment,"$100,000 and Above",Complex,110
Orillia CA,Efile,Self-employment,"Between $50,000 and $99,999",Complex,110
Orillia CA,Netfile,Other,"Between $25,000 and $49,999",Simple,100
Orillia CA,Paper,Employment,"Between $50,000 and $99,999",Complex,90
Orillia CA,Netfile,Self-employment,"Less than $25,000",Complex,90
Orillia CA,Efile,Other,"Between $25,000 and $49,999",Complex,90
Orillia CA,Paper,Employment,"Between $25,000 and $49,999",Complex,80
Orillia CA,Paper,No income,"Less than $25,000",Simple,70
Orillia CA,Paper,Pension,"Between $50,000 and $99,999",Complex,70
Orillia CA,Paper,Pension,"Between $50,000 and $99,999",Simple,70
Orillia CA,Netfile,Other,"Less than $25,000",Complex,70
Orillia CA,Efile,Self-employment,"$100,000 and Above",Complex,60
Orillia CA,Paper,Employment,"Less than $25,000",Complex,50
Orillia CA,Paper,Self-employment,"Less than $25,000",Complex,50
Orillia CA,Efile,Other,"Between $50,000 and $99,999",Complex,50
Orillia CA,Efile,Other,"$100,000 and Above",Complex,50
Orillia CA,Paper,Employment,"$100,000 and Above",Simple,40
Orillia CA,Paper,Other,"Less than $25,000",Complex,40
Orillia CA,Efile,Other,"Between $50,000 and $99,999",Simple,40
Orillia CA,Netfile,Other,"Between $25,000 and $49,999",Complex,30
Orillia CA,Netfile,Self-employment,"Between $25,000 and $49,999",Complex,30
Orillia CA,Efile,Investment,"Less than $25,000",Simple,30
Orillia CA,Efile,Pension,"$100,000 and Above",Simple,30
Orillia CA,Paper,Employment,"$100,000 and Above",Complex,20
Orillia CA,Paper,Investment,"Between $25,000 and $49,999",Complex,20
Orillia CA,Paper,Investment,"Between $50,000 and $99,999",Complex,20
Orillia CA,Paper,Other,"Between $25,000 and $49,999",Simple,20
Orillia CA,Paper,Pension,"$100,000 and Above",Complex,20
Orillia CA,Paper,Self-employment,"Between $25,000 and $49,999",Complex,20
Orillia CA,Netfile,Investment,"Less than $25,000",Complex,20
Orillia CA,Netfile,Investment,"Between $25,000 and $49,999",Complex,20
Orillia CA,Netfile,Investment,"Between $50,000 and $99,999",Complex,20
Orillia CA,Netfile,Investment,"$100,000 and Above",Complex,20
Orillia CA,Netfile,Other,"Between $50,000 and $99,999",Simple,20
Orillia CA,Netfile,Pension,"$100,000 and Above",Complex,20
Orillia CA,Efile,No income,"Less than $25,000",Complex,20
Orillia CA,Efile,Other,"$100,000 and Above",Simple,20
Orillia CA,Paper,No income,"Less than $25,000",Complex,10
Orillia CA,Paper,Investment,"Less than $25,000",Complex,10
Orillia CA,Paper,Other,"Between $25,000 and $49,999",Complex,10
Orillia CA,Paper,Pension,"$100,000 and Above",Simple,10
Orillia CA,Netfile,Other,"Between $50,000 and $99,999",Complex,10
Orillia CA,Netfile,Pension,"$100,000 and Above",Simple,10
Orillia CA,Paper,Investment,"Less than $25,000",Simple,0
Orillia CA,Paper,Investment,"Between $25,000 and $49,999",Simple,0
Orillia CA,Paper,Investment,"Between $50,000 and $99,999",Simple,0
Orillia CA,Paper,Investment,"$100,000 and Above",Complex,0
Orillia CA,Paper,Other,"Between $50,000 and $99,999",Complex,0
Orillia CA,Paper,Other,"Between $50,000 and $99,999",Simple,0
Orillia CA,Paper,Other,"$100,000 and Above",Complex,0
Orillia CA,Paper,Other,"$100,000 and Above",Simple,0
Orillia CA,Paper,Self-employment,"Less than $25,000",Simple,0
Orillia CA,Paper,Self-employment,"Between $25,000 and $49,999",Simple,0
Orillia CA,Paper,Self-employment,"Between $50,000 and $99,999",Complex,0
Orillia CA,Paper,Self-employment,"$100,000 and Above",Complex,0
Orillia CA,Paper,Self-employment,"$100,000 and Above",Simple,0
Orillia CA,Netfile,No income,"Less than $25,000",Complex,0
Orillia CA,Netfile,Investment,"Less than $25,000",Simple,0
Orillia CA,Netfile,Investment,"Between $25,000 and $49,999",Simple,0
Orillia CA,Netfile,Multiple sources of income,"Less than $25,000",Complex,0
Orillia CA,Netfile,Other,"$100,000 and Above",Complex,0
Orillia CA,Netfile,Other,"$100,000 and Above",Simple,0
Orillia CA,Netfile,Self-employment,"Between $50,000 and $99,999",Complex,0
Orillia CA,Netfile,Self-employment,"$100,000 and Above",Complex,0
Orillia CA,Efile,Investment,"Between $25,000 and $49,999",Simple,0
Orillia CA,Efile,Investment,"Between $50,000 and $99,999",Simple,0
Orillia CA,Efile,Investment,"$100,000 and Above",Simple,0
Orillia CA,Efile,Self-employment,"Less than $25,000",Simple,0
Orillia CA,Efile,Self-employment,"Between $50,000 and $99,999",Simple,0
Oshawa CMA,Efile,Employment,"Between $50,000 and $99,999",Simple,"20,610"
Oshawa CMA,Netfile,Employment,"Between $50,000 and $99,999",Simple,"20,310"
Oshawa CMA,Efile,Employment,"Less than $25,000",Simple,"18,180"
Oshawa CMA,Efile,Employment,"Between $25,000 and $49,999",Simple,"17,000"
Oshawa CMA,Netfile,Employment,"Between $25,000 and $49,999",Simple,"13,760"
Oshawa CMA,Netfile,Employment,"Less than $25,000",Simple,"12,580"
Oshawa CMA,Efile,Other,"Less than $25,000",Simple,"10,510"
Oshawa CMA,Efile,Pension,"Less than $25,000",Simple,"9,100"
Oshawa CMA,Efile,Pension,"Between $25,000 and $49,999",Simple,"8,650"
Oshawa CMA,Efile,Employment,"Between $50,000 and $99,999",Complex,"8,210"
Oshawa CMA,Netfile,Other,"Less than $25,000",Simple,"7,260"
Oshawa CMA,Netfile,Employment,"$100,000 and Above",Simple,"6,500"
Oshawa CMA,Efile,Employment,"$100,000 and Above",Simple,"6,430"
Oshawa CMA,Efile,Pension,"Between $25,000 and $49,999",Complex,"5,730"
Oshawa CMA,Netfile,Employment,"Between $50,000 and $99,999",Complex,"4,630"
Oshawa CMA,Efile,Employment,"$100,000 and Above",Complex,"4,560"
Oshawa CMA,Efile,Pension,"Between $50,000 and $99,999",Complex,"4,460"
Oshawa CMA,Efile,Self-employment,"Less than $25,000",Complex,"4,460"
Oshawa CMA,Netfile,Pension,"Less than $25,000",Simple,"4,440"
Oshawa CMA,Netfile,Pension,"Between $25,000 and $49,999",Simple,"4,400"
Oshawa CMA,Efile,Employment,"Between $25,000 and $49,999",Complex,"4,260"
Oshawa CMA,Efile,Pension,"Between $50,000 and $99,999",Simple,"3,590"
Oshawa CMA,Efile,Pension,"Less than $25,000",Complex,"3,490"
Oshawa CMA,Paper,Employment,"Less than $25,000",Simple,"3,180"
Oshawa CMA,Paper,Employment,"Between $50,000 and $99,999",Simple,"2,920"
Oshawa CMA,Efile,No income,"Less than $25,000",Simple,"2,900"
Oshawa CMA,Netfile,Employment,"$100,000 and Above",Complex,"2,770"
Oshawa CMA,Paper,Pension,"Less than $25,000",Simple,"2,470"
Oshawa CMA,Paper,Employment,"Between $25,000 and $49,999",Simple,"2,400"
Oshawa CMA,Paper,Other,"Less than $25,000",Simple,"2,300"
Oshawa CMA,Efile,Employment,"Less than $25,000",Complex,"2,230"
Oshawa CMA,Netfile,Pension,"Between $50,000 and $99,999",Simple,"2,100"
Oshawa CMA,Netfile,Employment,"Between $25,000 and $49,999",Complex,"2,030"
Oshawa CMA,Paper,Pension,"Between $25,000 and $49,999",Simple,"1,980"
Oshawa CMA,Efile,Self-employment,"Between $25,000 and $49,999",Complex,"1,870"
Oshawa CMA,Netfile,No income,"Less than $25,000",Simple,"1,840"
Oshawa CMA,Netfile,Pension,"Between $25,000 and $49,999",Complex,"1,720"
Oshawa CMA,Efile,Other,"Less than $25,000",Complex,"1,570"
Oshawa CMA,Netfile,Pension,"Between $50,000 and $99,999",Complex,"1,380"
Oshawa CMA,Efile,Investment,"Between $50,000 and $99,999",Complex,"1,290"
Oshawa CMA,Efile,Other,"Between $25,000 and $49,999",Simple,"1,250"
Oshawa CMA,Efile,Investment,"$100,000 and Above",Complex,"1,160"
Oshawa CMA,Efile,Self-employment,"Between $50,000 and $99,999",Complex,"1,040"
Oshawa CMA,Netfile,Self-employment,"Less than $25,000",Complex,"1,020"
Oshawa CMA,Paper,Employment,"Between $50,000 and $99,999",Complex,"1,000"
Oshawa CMA,Paper,Pension,"Less than $25,000",Complex,980
Oshawa CMA,Efile,Investment,"Less than $25,000",Complex,970
Oshawa CMA,Netfile,Other,"Between $25,000 and $49,999",Simple,960
Oshawa CMA,Netfile,Employment,"Less than $25,000",Complex,950
Oshawa CMA,Netfile,Pension,"Less than $25,000",Complex,920
Oshawa CMA,Paper,Pension,"Between $25,000 and $49,999",Complex,840
Oshawa CMA,Paper,No income,"Less than $25,000",Simple,810
Oshawa CMA,Paper,Employment,"$100,000 and Above",Simple,790
Oshawa CMA,Paper,Pension,"Between $50,000 and $99,999",Simple,760
Oshawa CMA,Efile,Investment,"Between $25,000 and $49,999",Complex,760
Oshawa CMA,Netfile,Other,"Less than $25,000",Complex,750
Oshawa CMA,Efile,Pension,"$100,000 and Above",Complex,650
Oshawa CMA,Paper,Self-employment,"Less than $25,000",Complex,590
Oshawa CMA,Efile,Other,"Between $25,000 and $49,999",Complex,590
Oshawa CMA,Efile,Self-employment,"$100,000 and Above",Complex,570
Oshawa CMA,Paper,Pension,"Between $50,000 and $99,999",Complex,550
Oshawa CMA,Paper,Employment,"Between $25,000 and $49,999",Complex,540
Oshawa CMA,Efile,Other,"$100,000 and Above",Complex,500
Oshawa CMA,Paper,Employment,"$100,000 and Above",Complex,420
Oshawa CMA,Paper,Employment,"Less than $25,000",Complex,410
Oshawa CMA,Efile,Other,"Between $50,000 and $99,999",Complex,380
Oshawa CMA,Netfile,Investment,"Less than $25,000",Complex,360
Oshawa CMA,Paper,Other,"Less than $25,000",Complex,350
Oshawa CMA,Efile,Other,"Between $50,000 and $99,999",Simple,350
Oshawa CMA,Efile,Other,"$100,000 and Above",Simple,330
Oshawa CMA,Netfile,Self-employment,"Between $25,000 and $49,999",Complex,320
Oshawa CMA,Efile,Investment,"Less than $25,000",Simple,280
Oshawa CMA,Netfile,Other,"Between $25,000 and $49,999",Complex,230
Oshawa CMA,Netfile,Other,"Between $50,000 and $99,999",Simple,210
Oshawa CMA,Efile,Pension,"$100,000 and Above",Simple,210
Oshawa CMA,Paper,Other,"Between $25,000 and $49,999",Simple,200
Oshawa CMA,Paper,Self-employment,"Between $25,000 and $49,999",Complex,200
Oshawa CMA,Netfile,Investment,"Less than $25,000",Simple,190
Oshawa CMA,Netfile,Pension,"$100,000 and Above",Complex,190
Oshawa CMA,Netfile,Investment,"Between $50,000 and $99,999",Complex,160
Oshawa CMA,Netfile,Self-employment,"Between $50,000 and $99,999",Complex,160
Oshawa CMA,Paper,Investment,"Less than $25,000",Complex,150
Oshawa CMA,Netfile,Other,"$100,000 and Above",Simple,150
Oshawa CMA,Netfile,Investment,"Between $25,000 and $49,999",Complex,140
Oshawa CMA,Netfile,Pension,"$100,000 and Above",Simple,120
Oshawa CMA,Efile,No income,"Less than $25,000",Complex,110
Oshawa CMA,Paper,Investment,"Less than $25,000",Simple,100
Oshawa CMA,Paper,Investment,"Between $50,000 and $99,999",Complex,100
Oshawa CMA,Netfile,Investment,"$100,000 and Above",Complex,100
Oshawa CMA,Netfile,Other,"Between $50,000 and $99,999",Complex,100
Oshawa CMA,Netfile,Other,"$100,000 and Above",Complex,100
Oshawa CMA,Paper,Self-employment,"Between $50,000 and $99,999",Complex,90
Oshawa CMA,Paper,Investment,"$100,000 and Above",Complex,80
Oshawa CMA,Paper,Other,"Between $25,000 and $49,999",Complex,80
Oshawa CMA,Netfile,Self-employment,"$100,000 and Above",Complex,80
Oshawa CMA,Paper,Other,"Between $50,000 and $99,999",Simple,70
Oshawa CMA,Paper,Pension,"$100,000 and Above",Complex,70
Oshawa CMA,Paper,Other,"$100,000 and Above",Complex,60
Oshawa CMA,Paper,Self-employment,"$100,000 and Above",Complex,60
Oshawa CMA,Paper,Investment,"Between $25,000 and $49,999",Complex,50
Oshawa CMA,Paper,Other,"Between $50,000 and $99,999",Complex,50
Oshawa CMA,Paper,Other,"$100,000 and Above",Simple,50
Oshawa CMA,Paper,No income,"Less than $25,000",Complex,40
Oshawa CMA,Paper,Pension,"$100,000 and Above",Simple,30
Oshawa CMA,Netfile,No income,"Less than $25,000",Complex,30
Oshawa CMA,Efile,Investment,"Between $25,000 and $49,999",Simple,30
Oshawa CMA,Efile,Investment,"Between $50,000 and $99,999",Simple,20
Oshawa CMA,Paper,Investment,"Between $25,000 and $49,999",Simple,10
Oshawa CMA,Paper,Investment,"Between $50,000 and $99,999",Simple,0
Oshawa CMA,Paper,Investment,"$100,000 and Above",Simple,0
Oshawa CMA,Paper,Multiple sources of income,"Less than $25,000",Complex,0
Oshawa CMA,Paper,Multiple sources of income,"Less than $25,000",Simple,0
Oshawa CMA,Paper,Multiple sources of income,"Between $25,000 and $49,999",Simple,0
Oshawa CMA,Paper,Self-employment,"Less than $25,000",Simple,0
Oshawa CMA,Paper,Self-employment,"Between $25,000 and $49,999",Simple,0
Oshawa CMA,Paper,Self-employment,"Between $50,000 and $99,999",Simple,0
Oshawa CMA,Paper,Self-employment,"$100,000 and Above",Simple,0
Oshawa CMA,Netfile,Investment,"Between $25,000 and $49,999",Simple,0
Oshawa CMA,Netfile,Investment,"Between $50,000 and $99,999",Simple,0
